Player,Age,A group,Bat,B group,Height(inch),H group,Weight,W group,5thHR,5thC,10thHR,10thC,20thHR,20thC,30thHR,30thC,Team,League,HR
Luke Maile,28,1,R,0,75,2,225,2,129,0,129,0,129,0,129,0,TOR,1,2
Luke Voit,28,1,R,0,75,2,225,2,96,1,150,1,462,1,510,0,NYY,1,21
Ian Desmond,34,2,R,0,75,2,220,2,141,1,245,1,481,1,482,0,COL,0,20
Jake Lamb,29,1,L,1,75,2,220,2,132,1,226,0,226,0,226,0,ARI,0,6
Seth Brown,27,1,L,1,75,2,220,2,83,0,83,0,83,0,83,0,OAK,1,0
Brian Anderson,26,1,R,0,75,2,220,2,204,1,323,1,466,1,520,0,MIA,0,20
Edwin Rios,25,1,L,1,75,2,220,2,56,0,56,0,56,0,56,0,LAD,0,4
Zack Collins,24,0,L,1,75,2,220,2,101,0,101,0,101,0,101,0,CWS,1,3
Greg Bird,27,1,L,1,75,2,219,1,41,0,41,0,41,0,41,0,NYY,1,1
Kelvin Gutierrez,25,1,R,0,75,2,216,1,79,0,79,0,79,0,79,0,KC,1,1
Neil Walker,34,2,B,2,75,2,215,1,184,1,381,0,381,0,381,0,MIA,0,8
Jason Castro,32,2,L,1,75,2,215,1,54,1,149,1,275,0,275,0,MIN,1,13
Chad Wallach,28,1,R,0,75,2,215,1,54,0,54,0,54,0,54,0,MIA,0,1
Jesse Winker,26,1,L,1,75,2,215,1,60,1,154,1,384,0,384,0,CIN,0,16
Sean Murphy,25,1,R,0,75,2,215,1,60,0,60,0,60,0,60,0,OAK,1,4
Jordy Mercer,33,2,R,0,75,2,210,1,153,1,271,0,271,0,271,0,DET,1,9
Ryan Flaherty,33,2,L,1,75,2,210,1,22,0,22,0,22,0,22,0,CLE,1,0
Michael Taylor,28,1,R,0,75,2,209,1,97,0,97,0,97,0,97,0,WAS,0,1
Derek Fisher,26,1,L,1,75,2,207,1,105,1,167,0,167,0,167,0,TOR,1,6
Brandon Nimmo,26,1,L,1,75,2,206,1,192,1,254,0,254,0,254,0,NYM,0,8
Troy Tulowitzki,35,2,R,0,75,2,205,1,13,0,13,0,13,0,13,0,NYY,1,1
Wilmer Flores,28,1,R,0,75,2,203,1,190,1,285,0,285,0,285,0,ARI,0,9
Ben Zobrist,38,2,B,2,75,2,200,1,176,0,176,0,176,0,176,0,CHC,0,1
Matt Carpenter,33,2,L,1,75,2,200,1,190,1,290,1,492,0,492,0,STL,0,15
JaCoby Jones,27,1,R,0,75,2,200,1,126,1,260,1,333,0,333,0,DET,1,11
Ryan O'Hearn,26,1,L,1,75,2,200,1,167,1,296,1,370,0,370,0,KC,1,14
Bryan Reynolds,24,0,B,2,75,2,200,1,102,1,347,1,546,0,546,0,PIT,0,16
Jacob Nottingham,24,0,R,0,75,2,200,1,7,0,7,0,7,0,7,0,MIL,0,1
Niko Goodrum,27,1,B,2,75,2,198,1,206,1,381,1,472,0,472,0,DET,1,12
Jay Bruce,32,2,L,1,75,2,195,1,45,1,107,1,230,1,333,0,SEA,1,14
Erik Gonzalez,28,1,R,0,75,2,195,1,156,0,156,0,156,0,156,0,PIT,0,1
Stephen Piscotty,28,1,R,0,75,2,195,1,165,1,340,1,393,0,393,0,OAK,1,13
Nick Williams,26,1,L,1,75,2,195,1,112,0,112,0,112,0,112,0,PHI,0,2
