,DATE,SEOUL,DAEJEON,BUSAN,KOREA
844,2016-04-22,130,115,118,121
845,2016-04-23,135,128,171,144.6666667
846,2016-04-24,101,109,160,123.3333333
847,2016-04-25,93,101,118,104
848,2016-04-26,107,95,108,103.3333333
849,2016-04-27,73,70,83,75.33333333
850,2016-04-28,81,66,85,77.33333333
851,2016-04-29,100,85,89,91.33333333
852,2016-04-30,125,90,123,112.6666667
853,2016-05-01,84,83,104,90.33333333
854,2016-05-02,90,76,124,96.66666667
855,2016-05-03,46,42,81,56.33333333
856,2016-05-04,51,55,92,66
857,2016-05-05,78,77,99,84.66666667
858,2016-05-06,85,64,111,86.66666667
859,2016-05-07,81,105,151,112.3333333
860,2016-05-08,66,68,138,90.66666667
861,2016-05-09,77,87,134,99.33333333
862,2016-05-10,61,73,116,83.33333333
863,2016-05-11,57,55,85,65.66666667
864,2016-05-12,65,74,104,81
865,2016-05-13,79,78,102,86.33333333
866,2016-05-14,77,61,77,71.66666667
867,2016-05-15,77,74,97,82.66666667
868,2016-05-16,63,48,93,68
869,2016-05-17,121,95,104,106.6666667
870,2016-05-18,102,98,123,107.6666667
871,2016-05-19,83,106,102,97
872,2016-05-20,97,113,114,108
873,2016-05-21,92,73,110,91.66666667
874,2016-05-22,122,96,116,111.3333333
875,2016-05-23,145,94,132,123.6666667
876,2016-05-24,85,68,106,86.33333333
877,2016-05-25,157,119,127,134.3333333
878,2016-05-26,173,157,168,166
879,2016-05-27,159,141,158,152.6666667
880,2016-05-28,135,115,162,137.3333333
881,2016-05-29,133,111,127,123.6666667
882,2016-05-30,151,132,135,139.3333333
883,2016-05-31,141,128,155,141.3333333
884,2016-06-01,88,92,88,89.33333333
885,2016-06-02,70,71,69,70
886,2016-06-03,91,90,93,91.33333333
887,2016-06-04,99,109,97,101.6666667
888,2016-06-05,102,109,66,92.33333333
889,2016-06-06,58,56,89,67.66666667
890,2016-06-07,89,78,111,92.66666667
891,2016-06-08,91,95,136,107.3333333
892,2016-06-09,106,102,149,119
893,2016-06-10,121,133,126,126.6666667
894,2016-06-11,105,79,117,100.3333333
895,2016-06-12,77,68,116,87
896,2016-06-13,120,88,114,107.3333333
897,2016-06-14,109,114,128,117
898,2016-06-15,85,81,113,93
899,2016-06-16,70,58,108,78.66666667
900,2016-06-17,116,91,91,99.33333333
901,2016-06-18,141,93,115,116.3333333
902,2016-06-19,101,99,94,98
903,2016-06-20,117,99,146,120.6666667
904,2016-06-21,125,75,106,102
905,2016-06-22,143,86,117,115.3333333
906,2016-06-23,90,69,98,85.66666667
907,2016-06-24,102,83,102,95.66666667
908,2016-06-25,71,57,86,71.33333333
909,2016-06-26,75,71,103,83
910,2016-06-27,83,65,162,103.3333333
911,2016-06-28,133,74,117,108
912,2016-06-29,94,81,106,93.66666667
913,2016-06-30,75,58,101,78
914,2016-07-01,60,40,69,56.33333333
915,2016-07-02,35,29,64,42.66666667
916,2016-07-03,95,61,95,83.66666667
917,2016-07-04,64,31,101,65.33333333
918,2016-07-05,32,24,91,49
919,2016-07-06,40,41,73,51.33333333
920,2016-07-07,85,43,92,73.33333333
921,2016-07-08,115,42,87,81.33333333
922,2016-07-09,91,92,57,80
923,2016-07-10,83,67,105,85
924,2016-07-11,112,84,96,97.33333333
925,2016-07-12,97,65,65,75.66666667
926,2016-07-13,71,84,96,83.66666667
927,2016-07-14,71,67,124,87.33333333
928,2016-07-15,47,40,66,51
929,2016-07-16,26,33,66,41.66666667
930,2016-07-17,42,25,87,51.33333333
931,2016-07-18,71,37,142,83.33333333
932,2016-07-19,82,71,104,85.66666667
933,2016-07-20,86,79,74,79.66666667
934,2016-07-21,80,57,67,68
935,2016-07-22,87,69,64,73.33333333
936,2016-07-23,95,81,67,81
937,2016-07-24,88,65,83,78.66666667
938,2016-07-25,102,65,95,87.33333333
939,2016-07-26,89,60,79,76
940,2016-07-27,87,59,69,71.66666667
941,2016-07-28,121,91,81,97.66666667
942,2016-07-29,99,93,92,94.66666667
943,2016-07-30,104,67,83,84.66666667
944,2016-07-31,95,88,112,98.33333333
945,2016-08-01,86,72,141,99.66666667
946,2016-08-02,71,76,114,87
947,2016-08-03,73,48,105,75.33333333
948,2016-08-04,77,56,94,75.66666667
949,2016-08-05,92,72,79,81
950,2016-08-06,132,87,86,101.6666667
951,2016-08-07,99,78,103,93.33333333
952,2016-08-08,100,86,139,108.3333333
953,2016-08-09,77,70,103,83.33333333
954,2016-08-10,130,87,82,99.66666667
955,2016-08-11,82,80,126,96
956,2016-08-12,105,79,151,111.6666667
957,2016-08-13,94,79,139,104
958,2016-08-14,102,89,129,106.6666667
959,2016-08-15,90,79,142,103.6666667
960,2016-08-16,106,83,102,97
961,2016-08-17,101,98,77,92
962,2016-08-18,119,88,71,92.66666667
963,2016-08-19,142,71,76,96.33333333
964,2016-08-20,85,80,75,80
965,2016-08-21,75,42,69,62
966,2016-08-22,81,66,75,74
967,2016-08-23,86,61,64,70.33333333
968,2016-08-24,90,53,66,69.66666667
969,2016-08-25,77,77,75,76.33333333
970,2016-08-26,35,46,84,55
971,2016-08-27,27,37,57,40.33333333
972,2016-08-28,25,34,52,37
973,2016-08-29,32,31,55,39.33333333
974,2016-08-30,51,53,75,59.66666667
975,2016-08-31,36,50,83,56.33333333
976,2016-09-01,114,113,120,115.6666667
977,2016-09-02,93,64,95,84
978,2016-09-03,64,38,90,64
979,2016-09-04,60,51,100,70.33333333
980,2016-09-05,72,79,86,79
981,2016-09-06,114,98,125,112.3333333
982,2016-09-07,156,105,155,138.6666667
983,2016-09-08,114,95,116,108.3333333
984,2016-09-09,98,93,124,105
985,2016-09-10,98,108,116,107.3333333
986,2016-09-11,103,78,73,84.66666667
987,2016-09-12,78,72,78,76
988,2016-09-13,44,57,69,56.66666667
989,2016-09-14,80,78,66,74.66666667
990,2016-09-15,100,98,75,91
991,2016-09-16,121,97,100,106
992,2016-09-17,77,49,67,64.33333333
993,2016-09-18,61,37,64,54
994,2016-09-19,26,40,59,41.66666667
995,2016-09-20,38,41,64,47.66666667
996,2016-09-21,85,71,100,85.33333333
997,2016-09-22,97,77,101,91.66666667
998,2016-09-23,114,80,90,94.66666667
999,2016-09-24,131,101,81,104.3333333
1000,2016-09-25,124,114,76,104.6666667
1001,2016-09-26,105,88,85,92.66666667
1002,2016-09-27,90,67,108,88.33333333
1003,2016-09-28,82,100,80,87.33333333
1004,2016-09-29,32,58,62,50.66666667
1005,2016-09-30,56,53,68,59
1006,2016-10-01,92,59,88,79.66666667
1007,2016-10-02,68,54,84,68.66666667
1008,2016-10-03,38,55,92,61.66666667
1009,2016-10-04,65,68,78,70.33333333
1010,2016-10-05,47,60,59,55.33333333
1011,2016-10-06,76,70,82,76
1012,2016-10-07,56,64,69,63
1013,2016-10-08,47,46,78,57
1014,2016-10-09,38,52,69,53
1015,2016-10-10,47,66,62,58.33333333
1016,2016-10-11,84,81,76,80.33333333
1017,2016-10-12,109,87,112,102.6666667
1018,2016-10-13,78,78,95,83.66666667
1019,2016-10-14,127,111,115,117.6666667
1020,2016-10-15,151,144,133,142.6666667
1021,2016-10-16,124,112,79,105
1022,2016-10-17,113,86,83,94
1023,2016-10-18,104,122,120,115.3333333
1024,2016-10-19,119,101,112,110.6666667
1025,2016-10-20,129,121,135,128.3333333
1026,2016-10-21,53,72,80,68.33333333
1027,2016-10-22,67,61,70,66
1028,2016-10-23,27,46,67,46.66666667
1029,2016-10-24,33,46,62,47
1030,2016-10-25,41,57,80,59.33333333
1031,2016-10-26,85,92,90,89
1032,2016-10-27,89,93,91,91
1033,2016-10-28,72,64,65,67
1034,2016-10-29,68,65,99,77.33333333
1035,2016-10-30,50,64,99,71
1036,2016-10-31,67,75,95,79
1037,2016-11-01,45,52,89,62
1038,2016-11-02,65,67,82,71.33333333
1039,2016-11-03,87,96,128,103.6666667
1040,2016-11-04,118,101,149,122.6666667
1041,2016-11-05,140,118,135,131
1042,2016-11-06,70,100,110,93.33333333
1043,2016-11-07,86,83,102,90.33333333
